име,град,color-score,color-verdict,color-max-time,subsums-score,subsums-verdict,subsums-max-time,traffic-score,traffic-verdict,traffic-max-time,точки
MDK,Габрово,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.119,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,1.769,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.233,300.0
ZEM,Плевен,20.0,OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.426,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.789,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.229,220.0
IYS,Шумен,5.0,WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.336,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,2.259,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.089,205.0
CII,София,75.0,OK OK OK OK OK OK OK OK OK WA OK WA OK WA OK WA OK WA OK OK,0.109,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.469,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.009,175.0
KKI,Пловдив,45.0,OK WA OK WA OK WA OK WA WA WA OK WA OK WA OK WA OK WA OK WA,0.399,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.959,20.0,OK WA OK OK OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.086,165.0
BEI,Русе,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.113,10.0,WA WA WA WA WA WA WA WA OK WA WA WA WA WA WA WA OK WA WA WA,0.589,50.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK TL TL TL TL TL OK OK TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,160.0
KKK,София,90.0,OK WA OK OK OK WA OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.353,70.0,OK OK OK OK OK OK OK OK OK OK OK OK TL TL TL TL OK TL TL OK,N/A,0,Compilation error,N/A,160.0
DVB,Габрово,45.0,OK WA OK WA OK WA OK WA WA WA OK WA OK WA OK WA OK WA OK WA,0.276,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,2.086,10.0,OK WA WA OK OK OK WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.086,155.0
VIK,Русе,45.0,OK WA OK WA OK WA OK WA WA WA OK WA OK WA OK WA OK WA OK WA,0.103,0.0,RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE,N/A,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.096,145.0
SIN,Плевен,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.283,20.0,WA OK WA OK OK OK TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,18.0,OK OK TL OK OK OK OK OK OK OK TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,138.0
AND,Варна,20.0,OK OK WA OK WA WA WA OK WA WA WA WA WA WA TL TL TL TL TL TL,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA RE RE RE RE WA WA WA RE WA,N/A,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.223,120.0
SNB,Шумен,10.0,OK WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.269,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,2.963,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.233,110.0
AIC,София,45.0,OK WA OK WA OK WA OK WA WA WA OK WA OK WA OK WA OK WA OK WA,0.103,45.0,OK OK OK WA OK WA WA WA OK OK WA WA WA WA WA OK OK OK WA WA,2.176,16.0,OK OK TL OK OK OK OK OK TL OK TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,106.0
BMG,Пловдив,45.0,OK WA OK WA OK WA OK WA WA WA OK WA OK WA OK WA OK WA OK WA,0.283,45.0,OK OK OK WA OK RE RE WA OK OK RE RE RE RE RE OK OK OK RE RE,N/A,0,Compilation error,N/A,90.0
SDM,Хасково,5.0,WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA TL WA WA,N/A,50.0,OK OK OK OK OK WA WA WA OK OK WA WA WA WA WA OK OK OK WA WA,1.653,34.0,OK OK OK OK OK OK OK OK OK OK OK OK OK TL OK OK TL TL TL OK TL TL TL TL TL TL TL TL TL OK TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,89.0
DPT,Велико Търново,55.0,WA OK OK OK OK OK OK OK WA OK OK OK OK WA TL TL TL TL TL TL,N/A,25.0,OK OK OK OK OK WA TL TL TL TL TL TL RE RE RE TL TL TL RE RE,N/A,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,80.0
IPD,Варна,45.0,OK WA OK WA OK WA OK WA WA WA OK WA OK WA OK WA OK WA OK WA,0.273,30.0,OK OK OK OK OK OK RE RE RE RE RE RE RE RE RE RE RE RE RE RE,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.053,75.0
VAD,Габрово,35.0,OK WA OK WA WA WA WA WA WA WA OK WA OK WA OK WA OK WA OK WA,0.296,30.0,OK OK OK OK OK OK TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,8.0,OK WA WA OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.079,73.0
MPM,Русе,35.0,OK WA OK WA WA WA WA WA WA WA OK WA OK WA OK WA OK WA OK WA,0.296,30.0,OK OK OK OK OK OK TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,8.0,OK WA TL OK OK OK WA TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL RE RE RE RE RE RE RE RE RE RE,N/A,73.0
AIT,Благоевград,55.0,OK WA OK WA OK OK OK WA OK WA OK WA OK WA OK WA OK WA OK WA,0.109,5.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA OK WA WA WA,0.063,8.0,OK WA WA OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.139,68.0
DPK,Пловдив,45.0,OK WA OK WA OK WA OK WA WA WA OK WA OK WA OK WA OK WA OK WA,0.273,10.0,WA OK WA WA WA WA WA WA OK WA WA RE RE RE RE RE RE RE RE RE,N/A,0,Compilation error,N/A,55.0
FTI,Шумен,45.0,OK WA OK WA OK WA OK WA WA WA OK WA OK WA OK WA OK WA OK WA,0.273,0.0,WA WA WA WA WA WA TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,8.0,OK WA WA OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.093,53.0
GGI,Варна,45.0,OK WA OK WA OK WA OK WA WA WA OK WA OK WA OK WA OK WA OK WA,0.236,0.0,WA WA WA WA WA WA WA RE RE RE RE RE RE RE RE RE RE RE RE RE,N/A,2.0,WA WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.086,47.0
LLK,Варна,45.0,OK WA OK WA OK WA OK WA WA WA OK WA OK WA OK WA OK WA OK WA,0.269,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.006,2.0,WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.076,47.0
LVM,Бургас,45.0,OK WA OK WA OK WA OK WA WA WA OK WA OK WA OK WA OK WA OK WA,0.299,0.0,WA WA WA WA WA TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0,Compilation error,N/A,45.0
AAM1,Пловдив,20.0,OK WA OK WA WA WA WA WA WA WA OK WA OK WA RE WA RE RE RE RE,N/A,5.0,WA OK WA WA WA WA TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,12.0,OK OK TL OK OK OK OK TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,37.0
DTK,Смолян,25.0,OK WA OK WA OK WA WA WA WA WA OK WA OK WA TL TL TL TL TL TL,N/A,5.0,WA WA WA WA WA WA WA WA OK WA WA TL TL TL TL TL TL TL TL TL,N/A,0.0,WA WA TL WA WA WA WA TL WA WA TL TL WA TL TL TL TL TL WA TL TL TL TL TL WA TL TL WA TL TL WA TL TL TL TL TL TL TL TL TL WA WA TL TL TL TL TL TL TL TL,N/A,30.0
TTG,Габрово,5.0,WA WA WA OK WA WA WA WA WA WA WA WA WA WA TL TL TL TL TL TL,N/A,15.0,WA OK WA WA WA WA WA WA OK WA WA WA TL WA TL TL OK TL TL WA,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.049,20.0
MGM,Велико Търново,10.0,OK WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.199,5.0,WA WA WA OK TL TL TL TL TL TL TL TL TL TL TL TL WA TL TL TL,N/A,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,15.0
IBB,Шумен,0,Compilation error,N/A,10.0,OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA OK WA WA WA,0.019,0,Compilation error,N/A,10.0
FIM,София,10.0,OK WA OK WA WA WA WA WA WA WA WA WA WA TL TL TL TL TL TL TL,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,10.0
SDK,София,10.0,OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.283,0.0,WA WA WA RE WA WA RE WA WA WA RE WA WA RE WA WA WA WA RE WA,N/A,0,Compilation error,N/A,10.0
KTK,София,10.0,OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.153,0.0,WA WA WA WA WA WA WA RE RE RE RE RE RE RE RE RE RE RE RE RE,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.076,10.0
BNS,Смолян,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,5.0,WA WA WA WA WA WA WA WA OK WA WA WA TL TL TL TL TL TL TL WA,N/A,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,5.0
DDG,Варна,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,5.0,WA OK WA WA WA WA WA WA WA TL TL TL TL RE TL RE RE RE TL RE,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.076,5.0
VMS,София,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0.0
AST,София,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA RE RE RE RE RE RE RE RE RE,N/A,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0.0
YBI,София,0,Compilation error,N/A,0,Compilation error,N/A,0,Compilation error,N/A,0
