име,град,brackets-score,brackets-verdict,brackets-max-time,double-score,double-verdict,double-max-time,ucongruence-score,ucongruence-verdict,ucongruence-max-time,точки
RMM,Ямбол,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.011,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK,0.032,20.0,OK WA WA OK WA WA OK OK WA WA WA WA WA WA WA WA WA WA WA WA,0.318,220.0
KKK,София,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.02,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK,0.04,20.0,OK WA WA OK WA WA OK OK WA WA WA WA WA WA WA WA WA WA WA WA,0.322,220.0
VDH,Пловдив,5.0,WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.022,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK,0.02,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.241,205.0
ISL,Варна,0.0,WA WA WA WA WA WA TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,83.33333333333333,WA WA OK OK OK OK OK OK OK OK OK OK,0.004,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.369,183.33333333333331
CVM,Варна,50.0,OK OK WA OK WA WA OK OK WA OK WA OK WA OK OK WA OK WA WA WA,0.01,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK,0.004,30.0,OK OK OK OK TL TL OK OK TL TL TL TL TL TL TL TL TL TL TL TL,N/A,180.0
ATB,Пловдив,5.0,WA WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA,0.009,50.00000000000001,OK OK OK TL OK OK TL TL TL TL TL OK,N/A,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.226,155.0
GGP,София,15.0,OK OK WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA,0.011,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK,0.026,20.0,OK WA WA OK WA WA OK OK WA WA WA WA WA WA WA WA WA WA WA WA,0.233,135.0
NMM,Габрово,20.0,OK OK WA OK WA WA OK TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK,0.023,10.0,OK WA WA WA WA WA WA OK TL TL WA WA TL WA WA WA WA WA WA WA,N/A,130.0
IBN,София,15.0,OK OK WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA,0.016,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK,0.014,10.0,WA WA WA WA WA WA OK OK WA WA WA WA WA WA WA WA WA WA WA WA,0.227,124.99999999999999
BIG,София,15.0,OK OK WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA,0.013,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK,0.019,10.0,OK WA WA TL WA WA OK TL WA WA TL WA WA WA WA WA WA WA WA WA,N/A,124.99999999999999
DNN,Варна,10.0,OK OK WA WA WA WA WA TL WA WA WA WA WA TL TL TL TL TL TL TL,N/A,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK,0.043,10.0,OK WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA,0.225,119.99999999999999
DPB,Пловдив,15.0,OK OK WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA,0.02,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK,0.016,5.0,OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.356,119.99999999999999
YRV,Плевен,15.0,OK OK WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA,0.015,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK,0.064,0,Compilation error,N/A,114.99999999999999
MMM,Велико Търново,15.0,OK OK WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA,0.016,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK,0.04,0,Compilation error,N/A,114.99999999999999
SAM,Варна,15.0,OK OK WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA,0.015,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK,0.007,0,Compilation error,N/A,114.99999999999999
ADD,София,5.0,WA WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA,0.014,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK,0.028,10.0,OK WA TL OK TL TL WA TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,114.99999999999999
AAY,Варна,10.0,OK OK WA WA WA WA TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK,0.033,5.0,WA WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA,0.413,114.99999999999999
RNH,Ямбол,10.0,OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.01,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK,0.04,0,Compilation error,N/A,109.99999999999999
IVB,София,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.014,8.333333333333334,WA OK WA WA WA WA WA WA WA WA WA WA,0.003,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.236,108.33333333333333
VYK,Хасково,5.0,WA WA WA WA WA RE RE OK RE RE RE RE RE RE RE RE RE RE RE RE,N/A,91.66666666666666,OK OK OK OK OK OK WA OK OK OK OK OK,0.004,10.0,OK WA RE TL TL TL OK RE RE TL RE TL TL TL TL TL TL TL TL TL,N/A,106.66666666666666
PPB,Велико Търново,5.0,WA WA RE RE RE RE RE OK RE TL TL TL TL RE TL TL TL TL TL TL,N/A,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK,0.094,0,Compilation error,N/A,104.99999999999999
MVK,София,5.0,WA OK WA WA WA WA TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK,0.045,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,104.99999999999999
MII,Плевен,5.0,WA WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA,0.018,91.66666666666666,OK OK OK OK OK OK WA OK OK OK OK OK,0.003,5.0,WA WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA,0.322,101.66666666666666
TIB,Габрово,0.0,WA WA WA TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK,0.044,0,Compilation error,N/A,99.99999999999999
TKK,София,0,Compilation error,N/A,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK,0.047,0,Compilation error,N/A,99.99999999999999
ANZ,София,0.0,WA WA WA WA WA WA TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK,0.004,0,Compilation error,N/A,99.99999999999999
MYY,Шумен,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.004,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK,0.088,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,99.99999999999999
VBM,София,5.0,OK WA WA WA WA WA WA TL WA WA WA WA TL WA TL TL TL TL TL TL,N/A,91.66666666666666,OK OK OK OK OK OK WA OK OK OK OK OK,0.038,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,96.66666666666666
LDD,София,5.0,WA WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA,0.006,91.66666666666666,OK OK OK OK OK OK WA OK OK OK OK OK,0.004,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.004,96.66666666666666
ISS,Пловдив,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.008,91.66666666666666,OK OK OK OK OK OK WA OK OK OK OK OK,0.004,0,Compilation error,N/A,91.66666666666666
DNN,Стара Загора,0,Compilation error,N/A,91.66666666666666,OK OK OK OK OK OK WA OK OK OK OK OK,0.004,0,Compilation error,N/A,91.66666666666666
NGS,София,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.01,83.33333333333333,WA OK OK RE OK OK OK OK OK OK OK OK,N/A,0,Compilation error,N/A,83.33333333333333
DPK,Габрово,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,66.66666666666667,OK OK OK OK WA OK WA OK OK WA OK WA,0.004,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,66.66666666666667
MIK,Шумен,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.02,50.00000000000001,OK OK OK OK OK OK TL TL TL TL TL TL,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA TL WA TL WA WA WA TL TL WA,N/A,50.00000000000001
JGD,Шумен,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.009,50.00000000000001,OK WA OK OK WA OK RE RE RE OK WA OK,N/A,0,Compilation error,N/A,50.00000000000001
IIN,Пловдив,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.011,41.66666666666667,WA WA OK OK TL OK TL TL TL OK WA OK,N/A,0,Compilation error,N/A,41.66666666666667
EIR,Бургас,15.0,OK OK WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA,0.093,25.0,WA WA OK OK TL OK TL TL TL TL TL TL,N/A,0,Compilation error,N/A,40.0
IMC,Плевен,5.0,WA WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA,0.006,33.333333333333336,OK OK OK OK TL TL TL TL TL TL TL TL,N/A,0,Compilation error,N/A,38.333333333333336
VDM,Варна,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.022,33.333333333333336,OK OK OK OK TL TL TL TL TL TL TL TL,N/A,0.0,WA WA WA WA WA TL WA TL WA WA TL WA WA WA WA WA WA TL TL TL,N/A,33.333333333333336
FAA,Хасково,0,Compilation error,N/A,33.333333333333336,OK OK OK OK TL TL TL TL TL TL TL TL,N/A,0,Compilation error,N/A,33.333333333333336
SIG,София,0,Compilation error,N/A,25.0,OK OK OK TL TL TL TL TL TL TL TL TL,N/A,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,25.0
GIB,София,0.0,WA WA WA WA WA TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,25.0,WA WA OK OK TL OK TL TL TL TL TL WA,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.004,25.0
VCB,Пловдив,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.008,25.0,WA WA OK OK WA OK WA WA WA WA WA WA,0.003,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.092,25.0
TCP,Враца,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.01,25.0,WA OK OK OK WA WA WA WA WA WA WA WA,0.004,0,Compilation error,N/A,25.0
DMY,Шумен,0.0,WA WA WA WA WA WA WA TL WA WA WA WA WA WA WA WA WA WA WA WA,N/A,16.666666666666668,WA WA WA OK OK WA WA WA WA WA WA WA,0.011,5.0,WA WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA,0.247,21.666666666666668
TGM,София,0.0,WA WA RE RE RE RE RE WA RE RE RE RE RE RE RE RE RE RE RE RE,N/A,16.666666666666668,OK TL TL OK TL TL TL TL TL TL TL TL,N/A,0,Compilation error,N/A,16.666666666666668
MDD,София,15.0,OK OK TL TL TL TL TL OK TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA,0.004,0,Compilation error,N/A,15.0
DKV,Пловдив,15.0,OK OK WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA,0.068,0,Compilation error,N/A,0,Compilation error,N/A,15.0
MGM,Пловдив,5.0,WA WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA,0.006,0,Compilation error,N/A,5.0,WA WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA,0.227,10.0
BNV,София,10.0,OK OK WA WA WA WA WA TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0,Compilation error,N/A,0,Compilation error,N/A,10.0
MPA,Варна,0,Compilation error,N/A,8.333333333333334,WA WA WA OK WA WA WA WA WA WA WA WA,0.004,0,Compilation error,N/A,8.333333333333334
NRD,Шумен,0.0,WA WA WA WA WA WA WA TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,8.333333333333334,WA WA WA OK WA WA TL WA WA WA WA WA,N/A,0,Compilation error,N/A,8.333333333333334
DDT,Благоевград,5.0,OK RE RE RE RE RE RE TL RE RE RE RE RE RE RE RE RE RE RE RE,N/A,0.0,TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0,Compilation error,N/A,5.0
NCC,София,0.0,WA WA WA WA WA RE RE TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA,0.004,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.004,0.0
GPP,София,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA,0.004,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.004,0.0
SZS,Бургас,0,Compilation error,N/A,0.0,WA WA WA WA WA TL TL TL TL TL TL TL,N/A,0,Compilation error,N/A,0.0
MSS,Бургас,0,Compilation error,N/A,0,Compilation error,N/A,0,Compilation error,N/A,0
MTA,Велико Търново,0,Compilation error,N/A,0,Compilation error,N/A,0,Compilation error,N/A,0
NPD,София,0,Compilation error,N/A,0,Compilation error,N/A,0,Compilation error,N/A,0
DDA,Шумен,0.0,WA WA RE RE RE RE TL RE TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA,0.004,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.004,0.0
IVD,Ловеч,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA,0.004,0,Compilation error,N/A,0.0
GST,Плевен,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA,0.004,0,Compilation error,N/A,0.0
BSS,Варна,0,Compilation error,N/A,0.0,RE RE RE WA RE RE RE WA WA RE RE WA,N/A,0,Compilation error,N/A,0.0
MMK,Плевен,0.0,WA WA WA WA WA WA WA RE RE RE RE RE RE RE RE RE RE RE RE RE,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA,0.004,0,Compilation error,N/A,0.0
HTT,Кюстендил,0.0,WA WA WA WA WA WA WA TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0.0,WA WA WA TL TL TL TL TL TL TL TL TL,N/A,0,Compilation error,N/A,0.0
DSN,Ловеч,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA,0.004,0,Compilation error,N/A,0.0
BDI,Велико Търново,0,Compilation error,N/A,0.0,WA WA WA RE RE RE RE RE RE RE RE RE,N/A,0,Compilation error,N/A,0.0
VVK,Пловдив,0,Compilation error,N/A,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.214,0.0
ISP,София,0,Compilation error,N/A,0,Compilation error,N/A,0,Compilation error,N/A,0
DMK,Бургас,0,Compilation error,N/A,0,Compilation error,N/A,0,Compilation error,N/A,0
RNK,Варна,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.01,0.0,WA WA WA WA WA WA WA WA WA WA WA WA,0.004,0,Compilation error,N/A,0.0
AGP,Ловеч,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA,0.004,0,Compilation error,N/A,0.0
KIG,Благоевград,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA,0.046,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.212,0.0
AEG,Шумен,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0,WA WA WA WA WA WA WA WA WA WA WA WA,0.004,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.004,0.0
SIK,Пловдив,0.0,WA WA WA WA WA TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0.0,WA WA WA TL TL TL TL TL TL TL TL TL,N/A,0,Compilation error,N/A,0.0
SGD,Ловеч,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.004,0.0,WA WA WA WA WA WA WA WA WA WA WA WA,0.004,0,Compilation error,N/A,0.0
IDI,Бургас,0,Compilation error,N/A,0,Compilation error,N/A,0,Compilation error,N/A,0
VAY,Велико Търново,0,Compilation error,N/A,0.0,RE RE RE RE RE RE RE RE RE RE RE RE,N/A,0,Compilation error,N/A,0.0
BGG,София,0,Compilation error,N/A,0,Compilation error,N/A,0,Compilation error,N/A,0
AAD,Велико Търново,0,Compilation error,N/A,0,Compilation error,N/A,0,Compilation error,N/A,0
MMA,Велико Търново,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA,0.004,0,Compilation error,N/A,0.0
JAG,София,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA,0.004,0,Compilation error,N/A,0.0
SNG,Бургас,0.0,WA WA WA WA RE RE RE RE TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0,Compilation error,N/A,0,Compilation error,N/A,0.0
PDM,Смолян,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA,0.004,0,Compilation error,N/A,0.0
AGG,Пловдив,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.004,0.0,WA WA WA WA WA WA WA WA WA WA WA WA,0.004,0.0,RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE,N/A,0.0
