name,city,number-score,number-verdict,number-max-time,sdiv-score,sdiv-verdict,sdiv-max-time,stories-score,stories-verdict,stories-max-time,score
EIM,Yambol,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.009,99.99999999999997,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.076,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.229,300.0
DNK,Haskovo,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.013,99.99999999999997,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.226,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.229,300.0
IGG,Shumen,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.083,99.99999999999997,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.089,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.239,300.0
VNT,Sofia,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.013,99.99999999999997,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.126,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.203,300.0
PIN,Ruse,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.009,99.99999999999997,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.116,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.196,300.0
IYY,Varna,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.009,99.99999999999997,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.156,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.233,300.0
EEI,Ruse,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.003,99.99999999999997,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.166,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.213,300.0
ILB,Sofia,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.053,99.99999999999997,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.146,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.243,300.0
SAS,Yambol,95.0,OK OK OK OK OK OK TL OK OK OK OK OK OK OK OK OK OK OK OK OK,N/A,99.99999999999997,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.133,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.229,295.0
RKC,Varna,90.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK TL TL OK,N/A,99.99999999999997,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.149,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.233,290.0
ATK,Varna,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.009,76.66666666666667,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK TL TL TL TL TL TL TL,N/A,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.183,276.6666666666667
VLG,Shumen,45.0,OK OK OK OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA,0.003,99.99999999999997,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.216,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.253,244.99999999999997
AVG,Haskovo,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.023,23.333333333333332,OK OK OK OK OK OK OK TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.279,223.33333333333331
IIG,Shumen,30.0,OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,99.99999999999997,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.206,90.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK TL TL,N/A,219.99999999999997
ADA,Pleven,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.086,0,Compilation error,N/A,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.209,200.0
RRB,Sofia,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.083,99.99999999999997,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.156,0,Compilation error,N/A,199.99999999999997
IDI,Sofia,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,99.99999999999997,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.133,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.259,199.99999999999997
ISD,Plovdiv,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.066,29.999999999999996,OK OK OK WA WA WA OK WA WA WA WA WA WA WA WA WA OK OK OK OK WA WA WA WA WA OK WA WA WA WA,0.313,65.0,OK OK OK OK OK OK OK OK OK OK OK OK OK TL TL TL TL TL TL TL,N/A,195.0
SSP,StaraZagora,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.003,23.333333333333332,OK OK OK OK OK OK OK TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,65.0,OK OK OK OK OK OK OK OK OK OK OK OK OK TL TL TL TL TL TL TL,N/A,188.33333333333331
PGA,Shumen,30.0,OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,99.99999999999997,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.243,55.0,OK OK OK OK OK OK OK OK OK OK TL TL TL TL TL TL TL OK TL TL,N/A,184.99999999999997
AGS,VTarnovo,50.0,OK OK OK OK OK OK OK OK WA OK WA OK WA TL TL TL TL TL TL TL,N/A,20.0,OK OK OK OK OK WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.006,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.239,170.0
AII,Pleven,15.0,OK OK OK TL TL TL TL TL WA WA WA WA WA WA WA TL TL WA WA WA,N/A,99.99999999999997,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.156,55.0,OK OK OK OK OK OK OK OK OK OK TL TL TL TL TL TL TL OK TL TL,N/A,169.99999999999997
GAM,Varna,65.0,OK OK OK OK OK OK OK OK OK OK OK OK OK TL TL TL TL TL TL TL,N/A,99.99999999999997,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.079,0,Compilation error,N/A,164.99999999999997
YVL,Sofia,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,66.66666666666669,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA,0.089,95.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK TL,N/A,161.66666666666669
GBB,Shumen,30.0,OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,29.999999999999996,OK OK OK OK OK OK OK OK WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.116,90.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK TL TL,N/A,150.0
IDA,Pleven,30.0,OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,23.333333333333332,OK OK OK OK OK OK OK TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,95.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK TL,N/A,148.33333333333331
RGM,Haskovo,30.0,OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,26.666666666666664,OK OK OK OK OK OK OK OK TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,90.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK TL TL,N/A,146.66666666666666
PVG,Sofia,15.0,OK OK OK TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,23.333333333333332,OK OK OK OK OK OK OK TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,95.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK TL,N/A,133.33333333333331
KGA,Burgas,15.0,OK OK OK TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,20.0,OK OK OK OK OK WA OK TL WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA TL WA WA WA WA WA WA,N/A,95.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK TL,N/A,130.0
VGV,Shumen,30.0,OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0,Compilation error,N/A,95.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK TL,N/A,125.0
SHB,StaraZagora,30.0,OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,95.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK TL,N/A,125.0
MIP,Ruse,0,Compilation error,N/A,26.666666666666664,OK OK OK OK OK OK OK OK TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,95.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK TL,N/A,121.66666666666666
GSS,Burgas,15.0,OK OK OK TL TL TL TL TL WA WA WA WA WA WA WA TL TL WA WA WA,N/A,3.3333333333333335,OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA TL TL TL TL TL TL TL TL TL TL,N/A,95.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK TL,N/A,113.33333333333333
SYI,VTarnovo,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,23.333333333333332,OK OK OK OK OK OK OK TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,90.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK TL OK TL,N/A,113.33333333333333
GIG,Ruse,15.0,OK OK OK TL TL TL TL TL WA WA WA WA WA WA WA TL TL WA WA WA,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,90.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK TL OK TL,N/A,105.0
KAB,Sofia,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,13.333333333333334,OK OK WA WA OK WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.126,90.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK TL OK TL,N/A,103.33333333333333
IMM,Plovdiv,70.0,OK OK OK OK OK OK OK OK WA OK WA OK WA OK WA OK WA OK WA OK,0.046,29.999999999999996,OK OK OK WA WA WA OK WA WA WA WA WA WA WA WA WA OK OK OK OK WA WA WA WA WA OK WA WA WA WA,0.293,0,Compilation error,N/A,100.0
VLV,Plovdiv,10.0,OK OK TL TL TL TL TL TL WA WA WA WA WA WA WA TL TL WA WA WA,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,90.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK TL TL,N/A,100.0
GPP,StaraZagora,30.0,OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,23.333333333333332,OK OK OK OK OK OK OK TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,45.0,OK OK OK OK OK OK TL OK OK OK TL TL TL TL TL TL TL TL TL TL,N/A,98.33333333333333
HCM,Sofia,20.0,OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.083,20.0,OK OK OK OK OK TL OK TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,50.0,OK OK OK OK OK OK OK OK OK OK TL TL TL TL TL TL TL WA TL TL,N/A,90.0
TTG,StaraZagora,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,20.0,OK OK OK OK OK WA OK TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,65.0,OK OK OK OK OK OK OK OK OK OK OK OK OK TL TL TL TL TL TL TL,N/A,85.0
GTY,Sofia,30.0,OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,3.3333333333333335,WA WA OK WA WA TL WA TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,50.0,OK OK OK OK OK OK OK WA OK WA TL TL TL TL TL TL TL OK OK TL,N/A,83.33333333333334
EDG,Shumen,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA TL,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.163,80.0,OK OK OK OK OK OK OK OK OK WA WA WA OK OK OK OK OK OK OK WA,0.229,80.0
VIS,Pleven,30.0,OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0,WA WA WA WA TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,45.0,OK OK OK OK OK OK TL OK OK OK TL TL TL TL TL TL TL TL TL TL,N/A,75.0
ASC,VTarnovo,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0,Compilation error,N/A,65.0,OK OK OK OK OK OK OK OK OK OK OK OK OK TL TL TL TL TL TL TL,N/A,65.0
TMH,Varna,10.0,WA WA WA OK WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,55.0,OK OK OK OK OK OK OK OK OK OK TL OK TL TL TL TL TL TL TL TL,N/A,65.0
DND,Burgas,30.0,OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0,Compilation error,N/A,25.0,WA WA WA WA WA WA WA OK OK WA WA WA WA WA WA OK WA OK OK WA,0.156,55.0
KMK,Vraca,0.0,TL TL TL TL TL TL TL TL WA WA WA WA WA WA WA TL TL WA WA WA,N/A,0,Compilation error,N/A,50.0,OK OK OK OK OK OK OK OK OK OK TL TL TL TL TL TL TL TL TL TL,N/A,50.0
GPP,Sofia,0.0,WA WA WA TL TL WA TL TL WA WA WA WA WA WA WA TL TL WA WA WA,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,50.0,OK OK OK OK OK OK OK OK OK OK TL TL TL TL TL TL TL TL TL TL,N/A,50.0
MDD,Samokov,0.0,WA WA WA TL TL WA TL TL WA WA WA WA WA WA WA TL TL WA WA WA,N/A,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,45.0,OK OK OK OK OK OK TL OK OK OK TL TL TL TL TL TL TL TL TL TL,N/A,45.0
PMT,Sofia,30.0,OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0,Compilation error,N/A,15.0,TL OK TL OK TL TL TL OK TL TL TL TL TL TL TL TL TL TL TL TL,N/A,45.0
NEK,Sofia,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA TL TL TL TL TL TL TL TL TL TL,N/A,45.0,OK OK OK OK OK OK OK OK TL OK TL TL TL TL TL TL TL TL TL TL,N/A,45.0
GDG,Gabrovo,15.0,WA WA OK OK WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,23.333333333333332,OK OK OK OK OK OK OK TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,5.0,TL OK TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,43.33333333333333
AKM,Sofia,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,40.0,OK OK OK OK OK OK TL OK OK TL TL TL TL TL TL TL TL TL TL TL,N/A,40.0
GMM,StaraZagora,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0.0,WA WA WA WA TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,30.0,OK OK OK OK TL TL TL OK TL OK TL TL TL TL TL TL TL TL WA TL,N/A,30.0
DKV,Pleven,30.0,OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.123,30.0
DJS,Sofia,0.0,TL TL TL TL TL TL TL TL WA WA WA WA WA WA WA TL TL WA WA WA,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,25.0,WA WA WA WA WA WA WA OK OK WA WA WA WA WA WA OK WA OK OK TL,N/A,25.0
NKN,Pleven,10.0,OK OK TL TL TL TL TL TL WA WA WA WA WA WA WA TL TL WA WA WA,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,10.0
IMZ,Smolyan,10.0,TL TL TL OK OK TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA TL TL TL TL TL TL TL TL,N/A,10.0
DNT,Sofia,10.0,WA WA WA OK WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0,Compilation error,N/A,0.0,TL WA TL WA WA WA TL TL WA TL TL TL TL TL TL TL TL TL TL TL,N/A,10.0
ADD,Pernik,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0,Compilation error,N/A,0,Compilation error,N/A,0.0
MMP,Pleven,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0,Compilation error,N/A,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0.0
MEC,Vraca,0.0,TL TL TL TL TL WA TL TL WA WA WA WA WA WA WA TL WA WA WA WA,N/A,0,Compilation error,N/A,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0.0
AIV,Sofia,0.0,WA WA WA WA WA WA TL TL WA WA WA WA WA WA WA TL TL WA WA WA,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0
HVH,Pleven,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.099,0.0
DPB,Ruse,0,Compilation error,N/A,0,Compilation error,N/A,0,Compilation error,N/A,0
VAP,Sofia,0,Compilation error,N/A,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0.0
